,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
154,71.0,Ноябрьск,Ямало-Ненецкий автономный округ,110.6,54.6,56.0
155,72.0,Щелково,Московская область,110.4,50.8,59.6
156,73.0,Кызыл,Республика Тыва,109.9,51.1,58.8
157,74.0,Октябрьский,Республика Башкортостан,109.4,51.1,58.3
158,75.0,Ачинск,Красноярский край,109.2,48.8,60.4
159,76.0,Северск,Томская область,108.5,50.2,58.3
160,77.0,Новокуйбышевск,Самарская область,108.4,49.0,59.4
161,78.0,Елец,Липецкая область,108.4,49.2,59.2
162,79.0,Арзамас,Нижегородская область,106.3,47.8,58.5
163,80.0,Обнинск,Калужская область,104.8,48.0,56.8
164,81.0,Новый Уренгой,Ямало-Ненецкий автономный округ,104.1,51.2,52.9
165,82.0,Каспийск,Республика Дагестан,103.9,50.5,53.4
166,83.0,Элиста,Республика Калмыкия,103.7,47.3,56.4
167,84.0,Пушкино,Московская область,102.8,46.3,56.5
168,85.0,Жуковский,Московская область,102.7,48.7,54.0
169,86.0,Артем,Приморский край,102.6,49.1,53.5
170,87.0,Междуреченск,Кемеровская область,102.0,47.5,54.5
171,88.0,Ленинск-Кузнецкий,Кемеровская область,101.7,46.6,55.1
172,89.0,Сарапул,Удмуртская Республика,101.4,45.2,56.2
173,90.0,Ессентуки ,Ставропольский край,101.0,45.1,55.9
174,91.0,Воткинск,Удмуртская Республика,100.0,45.4,54.6
